X;Y;ID
-118.22715100000042;34.14244779999985;361524060
-118.23271920000042;34.149884599999837;361524025
-118.23223030000041;34.149643699999842;361524021
-118.22573130000042;34.146257199999837;361523905
-118.22667580000039;34.146488999999846;361523902
-118.22565680000041;34.146706599999852;361523885
-118.22653810000041;34.147076599999849;361523882
-118.21748610000041;34.144927999999837;361523868
-118.2218027000004;34.145459999999851;361523813
-118.2257001000004;34.146433399999843;361523806
-118.22666200000042;34.146748399999844;361523803
-118.22859510000045;34.147477599999831;361523797
-118.22911910000043;34.147709099999844;361523795
-118.23222780000044;34.149255999999838;361523787
-118.23268740000044;34.149535499999836;361523784
-118.23521790000044;34.15121889999984;361523778
-118.23576340000044;34.15162379999984;361523776
-118.22657780000041;34.146947699999856;361523748
-118.22850290000045;34.14767469999984;361523743
-118.22896120000044;34.147866199999839;361523740
-118.23126620000042;34.148986199999833;361523734
-118.23223410000044;34.149519799999837;361523732
-118.23271280000043;34.149805799999832;361523729
-118.23367350000044;34.150411599999835;361523726
-118.23490900000043;34.151271699999839;361523723
-118.23545460000044;34.151676499999844;361523721
-118.22754530000041;34.147612199999841;361523704
-118.22650990000039;34.147267899999839;361523700
-118.22561730000039;34.146976699999847;361523698
-118.2267692000004;34.14421119999983;361523600
-118.22791460000045;34.142436699999834;361523551
-118.23285370000045;34.149296199999846;361523546
-118.23116230000042;34.148159599999836;361523543
-118.22726250000038;34.144486499999843;361523532
-118.2275077000004;34.143171199999841;361523530
-118.22482350000041;34.149919799999843;361523515
-118.22453420000039;34.151817499999844;361523505
-118.2250082000004;34.151961599999844;361523502
-118.23271960000044;34.150082999999846;361523497
-118.23224950000044;34.149832899999829;361523496
-118.22811500000043;34.148780899999842;361523486
-118.22772440000043;34.148915699999847;361523485
-118.2251506000004;34.152605699999832;361523475
-118.2252698000004;34.14591469999985;361523450
-118.22663140000041;34.147439199999852;361523442
-118.22530260000042;34.152037599999844;361523431
-118.22510160000041;34.152576199999842;361523430
-118.2242191000004;34.151594499999845;361523388
-118.22414930000039;34.156104799999845;361523381
-118.2239026000004;34.154999399999845;361523375
-118.22407960000042;34.152326999999836;361523361
-118.22455170000042;34.149672199999841;361523349
-118.22590170000042;34.150212799999842;361523327
-118.22563620000039;34.150150599999854;361523325
-118.22494950000039;34.149948599999838;361523322
-118.22442650000042;34.149833199999854;361523312
-118.22904090000043;34.137713399999839;361523299
-118.22783120000042;34.141806299999836;361523293
-118.22764020000041;34.142469099999829;361523292
-118.2274342000004;34.143158199999853;361523291
-118.2270508000004;34.144417699999835;361523283
-118.22690130000041;34.144949299999844;361523282
-118.22629480000042;34.147042999999847;361523277
-118.22598490000041;34.14813279999985;361523276
-118.22488460000042;34.151931299999859;361523275
-118.22472450000041;34.15248299999984;361523274
-118.22428680000041;34.154895099999841;361523268
-118.22447250000039;34.155961299999852;361523258
-118.2273741000004;34.142497499999841;361523255
-118.22721100000039;34.143051599999836;361523254
-118.22685010000039;34.144279099999835;361523251
-118.22670550000042;34.144785599999842;361523250
