TAZ_id,Lat_centroid,Lng_centroid,Nb_nodes_in_Taz,Area_taz
396,34.23320730080894,-118.1110929471825,8,167923825.48067
397,34.27244629481252,-117.8711664199888,33,838214693.77378
589,34.16488107991971,-118.3921254715349,0,1298158.00232
590,34.181213998689415,-118.39212566066709,0,1615123.30954
591,34.196241690914746,-118.3911298937079,0,587375.9436
592,34.20448321247483,-118.39197427409087,0,706720.46527
593,34.21657959804558,-118.3918832103116,0,1432759.60954
594,34.229544532886656,-118.39138741170171,0,1365050.12105
595,34.14511439961428,-118.38749851790227,0,1218315.26049
596,34.15292712442979,-118.38678431434865,0,1637571.19059
597,34.164898646020774,-118.38336504388073,0,1303202.47275
598,34.17578243755462,-118.38339910973593,0,648961.57172
599,34.18485851020455,-118.3834097466697,0,972537.97774
600,34.19456364259458,-118.38356173551182,0,757432.62235
601,34.20361000583948,-118.38328456642374,0,862366.11951
602,34.21724144360978,-118.38350842743012,0,1561821.39016
603,34.1355569549915,-118.38058948154726,0,2607058.74719
604,34.17578805869983,-118.37466048317894,0,648347.65076
605,34.18486639518838,-118.37467665864264,0,972199.50536
606,34.19370745979584,-118.37486684888027,0,602606.01731
607,34.20274360237239,-118.37457199763344,0,1015441.22552
608,34.15894044192139,-118.37408908368946,0,1073256.3878
609,34.14956556379753,-118.37220268160607,0,1001880.23454
610,34.217804950774095,-118.37303975947522,0,1282379.56035
611,34.14289550100559,-118.36980227180993,0,1077566.52136
612,34.21077567344646,-118.37190971086864,0,719532.65903
613,34.166676532117116,-118.37019475747499,0,632213.52592
614,34.16951533266863,-118.3660281303699,0,1053692.40959
615,34.1592924935875,-118.36565821199949,0,986549.61212
616,34.204736818629726,-118.36649489476694,0,565417.35191
617,34.19086731822407,-118.36545723978747,0,900684.89652
618,34.18289056152537,-118.36500308513307,0,781372.02779
619,34.17573775595135,-118.36429658957566,0,890636.25148
620,34.19979960757948,-118.35760787202314,0,2272010.42462
621,34.217290495572406,-118.36018782573976,0,2175410.6087
622,34.130029692122825,-118.35541315860884,0,3807264.20426
623,34.14809386231255,-118.3558133965757,0,1753801.66038
624,34.15789404920383,-118.3568615907113,0,1022205.51344
