lng1;lat1;lng2;lat2;flow/capacity;travel_time/fftt;capacity;freespeed;length;fftt
-118.22715100000042;34.14244779999985;-118.22685280000042;34.143127999999841;0.31197766666666665;1.0014209712183004;3000.0;22.222222222222221;80.288022743892441;3.6129610234751599
-118.23271920000042;34.149884599999837;-118.23367350000044;34.150411599999835;0.14224999999999999;1.0000614186631569;3000.0;22.222222222222221;105.62768997398631;4.753246048829384
-118.23223030000041;34.149643699999842;-118.23271920000042;34.149884599999837;0.14224999999999999;1.0000614186631569;3000.0;22.222222222222221;52.398637382561574;2.3579386822152708
-118.22573130000042;34.146257199999837;-118.2218027000004;34.145459999999851;0.41022333333333338;1.0042478844627496;1500.0;22.222222222222221;372.92436085190434;16.781596238335695
-118.22667580000039;34.146488999999846;-118.22573130000042;34.146257199999837;0.41022333333333338;1.0042478844627496;1500.0;22.222222222222221;90.801112418429142;4.0860500588293114
-118.22565680000041;34.146706599999852;-118.22653810000041;34.147076599999849;0.34721666666666667;1.0021801858315382;3000.0;22.222222222222221;91.030813035598399;4.0963865866019278
-118.22653810000041;34.147076599999849;-118.22853810000042;34.148047099999836;0.34721666666666667;1.0021801858315382;3000.0;22.222222222222221;213.97716389705991;9.628972375367697
-118.21748610000041;34.144927999999837;-118.21320370000039;34.144918599999862;0.33154699999999998;1.0018124735157274;10000.0;33.333333333333336;395.15713378845373;11.854714013653611
-118.2218027000004;34.145459999999851;-118.21748610000041;34.144927999999837;0.31834699999999999;1.0015406156503324;10000.0;33.333333333333336;402.6836973238274;12.080510919714822
-118.2257001000004;34.146433399999843;-118.2218027000004;34.145459999999851;0.25681300000000001;1.0006524680885081;10000.0;33.333333333333336;375.46960835271398;11.264088250581418
-118.22666200000042;34.146748399999844;-118.2257001000004;34.146433399999843;0.25681300000000001;1.0006524680885081;10000.0;33.333333333333336;95.322131436515974;2.8596639430954789
-118.22859510000045;34.147477599999831;-118.22666200000042;34.146748399999844;0.25681300000000001;1.0006524680885081;10000.0;33.333333333333336;195.78123777118907;5.8734371331356714
-118.22911910000043;34.147709099999844;-118.22859510000045;34.147477599999831;0.25681300000000001;1.0006524680885081;10000.0;33.333333333333336;54.711498016981551;1.6413449405094465
-118.23222780000044;34.149255999999838;-118.22911910000043;34.147709099999844;0.25681300000000001;1.0006524680885081;10000.0;33.333333333333336;334.16828315856986;10.025048494757096
-118.23222780000044;34.149255999999838;-118.22914380000043;34.147246799999834;0.092399999999999996;1.0000109340018726;3000.0;22.222222222222221;361.85725867117185;16.283576640202735
-118.23268740000044;34.149535499999836;-118.23222780000044;34.149255999999838;0.28453299999999998;1.0009831546343673;10000.0;33.333333333333336;52.5017058359225;1.575051175077675
-118.23521790000044;34.15121889999984;-118.23268740000044;34.149535499999836;0.28453299999999998;1.0009831546343673;10000.0;33.333333333333336;298.96060738164084;8.968818221449224
-118.23521790000044;34.15121889999984;-118.23285370000045;34.149296199999846;0.71363333333333334;1.0389037771509202;3000.0;22.222222222222221;305.37068969517338;13.741681036282802
-118.23576340000044;34.15162379999984;-118.23521790000044;34.15121889999984;0.49862299999999998;1.0092721508462734;10000.0;33.333333333333336;67.422329120506575;2.0226698736151971
-118.22657780000041;34.146947699999856;-118.22850290000045;34.14767469999984;0.55914799999999998;1.0146621737722179;10000.0;33.333333333333336;195.00069858329806;5.8500209574989412
-118.22850290000045;34.14767469999984;-118.22896120000044;34.147866199999839;0.55914799999999998;1.0146621737722179;10000.0;33.333333333333336;47.292737381929726;1.4187821214578917
-118.22896120000044;34.147866199999839;-118.23126620000042;34.148986199999833;0.55914799999999998;1.0146621737722179;10000.0;33.333333333333336;246.2128827119202;7.3863864813576052
-118.23126620000042;34.148986199999833;-118.23223410000044;34.149519799999837;0.58062799999999992;1.0170483816915135;10000.0;33.333333333333336;107.07792976475496;3.2123378929426485
-118.23223410000044;34.149519799999837;-118.23271280000043;34.149805799999832;0.58062799999999992;1.0170483816915135;10000.0;33.333333333333336;54.350462535076879;1.6305138760523064
-118.23271280000043;34.149805799999832;-118.23367350000044;34.150411599999835;0.58062799999999992;1.0170483816915135;10000.0;33.333333333333336;111.17202438018573;3.3351607314055718
-118.23367350000044;34.150411599999835;-118.23490900000043;34.151271699999839;0.62330299999999994;1.0226406102108321;10000.0;33.333333333333336;148.57312273720592;4.4571936821161771
-118.23490900000043;34.151271699999839;-118.23545460000044;34.151676499999844;0.62330299999999994;1.0226406102108321;10000.0;33.333333333333336;67.421794032240342;2.0226538209672102
-118.23545460000044;34.151676499999844;-118.23636390000043;34.152357799999841;0.62330299999999994;1.0226406102108321;10000.0;33.333333333333336;112.85814026365874;3.3857442079097622
-118.22754530000041;34.147612199999841;-118.22875730000045;34.14800609999984;0.071599999999999997;1.000003942242615;3000.0;22.222222222222221;119.98344623758568;5.399255080691356
-118.22650990000039;34.147267899999839;-118.22754530000041;34.147612199999841;0.071599999999999997;1.000003942242615;3000.0;22.222222222222221;102.81894119775383;4.6268523538989221
-118.22561730000039;34.146976699999847;-118.22650990000039;34.147267899999839;0.071599999999999997;1.000003942242615;3000.0;22.222222222222221;88.409305968444855;3.9784187685800187
-118.2267692000004;34.14421119999983;-118.2265644000004;34.144677899999841;0.071599999999999997;1.000003942242615;3000.0;22.222222222222221;55.093509702472559;2.4792079366112652
-118.22791460000045;34.142436699999834;-118.22826490000041;34.140348699999841;0.54589333333333334;1.0133205581052063;3000.0;22.222222222222221;233.79740557933755;10.52088325107019
-118.23285370000045;34.149296199999846;-118.23141070000044;34.148337599999842;0.71363333333333334;1.0389037771509202;3000.0;22.222222222222221;170.30446639603178;7.6637009878214304
-118.23116230000042;34.148159599999836;-118.22884400000044;34.146650499999836;0.13961100000000001;1.0000569862147612;3000.0;22.222222222222221;271.47508117455186;12.216378652854834
-118.22726250000038;34.144486499999843;-118.2275077000004;34.143171199999841;0.27922200000000003;1.000911779436181;1500.0;22.222222222222221;147.69721360571083;6.6463746122569871
